,Coefficient,explained_variance_score,Mean Absolute error 
summit_elev,3.3482689324331925,0.5476237203815012,6.927699783353937
vertical_drop,1.5296462252456955,0.5476237203815012,6.927699783353937
trams,1.7763568394002505e-15,0.5476237203815012,6.927699783353937
fastEight,1.5543122344752192e-15,0.5476237203815012,6.927699783353937
fastSixes,1.1102230246251565e-15,0.5476237203815012,6.927699783353937
fastQuads,0.007964156663256769,0.5476237203815012,6.927699783353937
quad,0.40516937544948095,0.5476237203815012,6.927699783353937
triple,1.2996867683624482,0.5476237203815012,6.927699783353937
double,0.6417389065563662,0.5476237203815012,6.927699783353937
surface,1.177648678017188,0.5476237203815012,6.927699783353937
total_chairs,0.40899651394117015,0.5476237203815012,6.927699783353937
Runs,1.4260437172262976,0.5476237203815012,6.927699783353937
TerrainParks,0.013124485805918708,0.5476237203815012,6.927699783353937
LongestRun_mi,0.32137595723047224,0.5476237203815012,6.927699783353937
SkiableTerrain_ac,0.19497980083202626,0.5476237203815012,6.927699783353937
Snow Making_ac,0.5941655114255144,0.5476237203815012,6.927699783353937
daysOpenLastYear,2.0611698457755674,0.5476237203815012,6.927699783353937
yearsOpen,0.08947345082418007,0.5476237203815012,6.927699783353937
averageSnowfall,1.877465709728668,0.5476237203815012,6.927699783353937
AdultWeekday,10.899376838387058,0.5476237203815012,6.927699783353937
projectedDaysOpen,0.6409033471298687,0.5476237203815012,6.927699783353937
NightSkiing_ac,0.7097271570197109,0.5476237203815012,6.927699783353937
clusters,2.917163437744496,0.5476237203815012,6.927699783353937
